institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments
Simon Fraser University,04-09-2018,Bachelor in Science in Computing Science,4," $25,664.00 ", Attending ,
Camosun College,04-09-2018,Bachelor of Science in Nursing,4,, Attending ,
University of Victoria,,Bachelor of Science in Nursing,2,, Attending ,
Simon Fraser University,,Bachelor of Environment,,, Completed  ,
University of the Fraser Valley,01-09-2017,Criminal Justice,4," $23,765.00 ", Attending ,
Douglas College,08-09-2017,Associate of Arts,2," $12,000.00 ", Hiatus ,
Douglas College,,Associate of Arts,,, Hiatus ,
University of the Fraser Valley,,Construction Electrician Diploma,,,,
Capilano University,,Bachelor of Business Admistration,4,, Hiatus ,
Langara College,,Associate of Arts,,, Hiatus ,
Camosun College,,Mechenical Engineering Bridge to Uvic,,, Hiatus ,
University of Victoria,,Bachelor of Science,,, Attending ,
Camosun College,06-01-2014,University Transfer,2,, Attending ,
Vancouver Island University,,Bachelor of Arts,,,,
Thompson Rivers University,22-09-2018,Bachelor of Commerce,4," $24,000.00 ", Hiatus ,
University of British Columbia,,Bachelor of Real Estate,,,,
Vancouver Community College,01-01-2019,,,, Never Attended ,
Selkirk College,04-01-2021,Associate of Arts,2,, Attending ,
Douglas College,08-09-2020,Bachelor of Arts in Child and Youth Care,4," $24,000.00 ", Hiatus ,
Capilano University,,Legal Administrative Assistant,,, Hiatus ,
Coast Mountain College,08-09-2020,Heavy Mechanical Foundations,1," $3,562.00 ",,
Coast Mountain College,11-11-2021,Professional Cook Level 2,,,,
Camosun College,03-09-2019,Bachelor of Science Nursing,4,, Hiatus ,
University of Victoria,01-01-2022,Bachelor of Science in Nursing,4,,,
College of New Caledonia,,Carpentry Foundations,,, Hiatus ,
Camosun College,03-09-2019,University Transfer,2,, Attending ,
Vancouver Community College,,Hair Design,,,,
Camosun College,09-01-2017,University Transfer,2,, Attending ,
Kwantlen Polytechnic University,,Welding Foundation,,, Completed  ,
Vancouver Island University,,Professional Cook Level1,,, Completed  ,
Kwantlen Polytechnic University,,Science and Horticulture,,, Hiatus ,
University of the Fraser Valley,,Qualifying Studies,1," $8,005.00 ", Attending ,
Camosun College,06-09-2016,Hospitality Management,2,, Hiatus , Last attended 04/20 
University of Victoria,,Bachelor of Commerce,,, Attending ,
University of the Fraser Valley,,Medical Office Assistant,,,,
Kwantlen Polytechnic University,01-01-2018,Arts,4," $23,500.00 ", Completed  ,
Vancouver Island University,03-09-2019,Bachelor of Science,4," $25,000.00 ", Attending ,
College of New Caledonia,23-08-2021,Office Assistant Certificate, 1 ,, Attending ,
Nicola Valley Institute of Technology,,Executive Assistance Diploma,,, Completed  ,
Kwantlen Polytechnic University,,Health Unit Coordinator,,, Completed  ,
University of the Fraser Valley,01-09-2018,Health Care Assistant,1," $7,810.00 ", Hiatus ,
College of New Caledonia,,Carpenter,,, Hiatus ,
BCIT,22-08-2016,Carpentry Apprentice,1," $4,800.00 ", Completed  ,
Vancouver Island University,04-09-2018,Social Services Diploma,2," $11,000.00 ", Attending ,
BCIT,04-02-2019,Bachelor of Science in Nursing,3," $24,156.00 ", Attending ,
Thompson Rivers University,,Bachelor of Arts,,,,
College of New Caledonia,,Associate of Arts in Psychology,,, Attending ,
Langara College,02-01-2014,Kinesiology Diploma,2," $9,031.00 ", Hiatus ,
University of the Fraser Valley,,Qualifying Studies,,,,
Douglas College,01-01-2019,Associate of Arts,2," $12,000.00 ", Hiatus ,
BCIT,,Science and Horticulture,,, Never Attended ,
Douglas College,,Criminilogy,,, Hiatus ,
Kwantlen Polytechnic University,05-01-2018,Bachelor of Arts in Psychology, 4 ," $23,500.00 ", Hiatus ,
University of Victoria,,Bachelor of Commerce,,, Attending ,
University of the Fraser Valley,01-09-2017,Social Service Worker Diploma,2," $14,272.00 ", Completed  ,
Langara College,04-09-2018,Associate of Arts: Arts (General),2," $9,335.00 ", Hiatus ,
Simon Fraser University,01-09-2018,Bachelor of Arts, 4 ," $25,664.00 ", Completed  ," Graduated Dec 31, 2020 "
Douglas College,01-09-2019,Bachelor of Arts in Child & Youth Care,4," $24,000.00 ", Hiatus ,
Langara College,07-05-2018,Associate of Arts,2," $9,775.00 ", Attending , Reported as completed 
Simon Fraser University,,Bachelor of Arts,,,,
University of the Fraser Valley,01-09-2019,Bachelor of Arts,4," $2,762.95 ", Hiatus ,
College of New Caledonia,06-01-2019,,,,,
BCIT,02-01-2019,General Studies,1," $6,140.00 ", Hiatus ,
Capilano University,01-09-2022,University One indigenous transition,1," $7,753.00 ",, Transfer from Selkirk 
University of British Columbia Okanagan,05-09-2017,Bachelor of Arts,4," $27,000.00 ", Attending ,
Kwantlen Polytechnic University,,College Prep,,, Hiatus ,
Langara College,01-05-2021,Certificate: Foundation in Entertainment Arts,1," $20,000.00 ", Attending ,
College of New Caledonia,07-09-2021,Heavy Mechanical Trades, 1 ," $4,317.00 ",,
College of New Caledonia,01-09-2020,Early Childhood Care & Learning,1," $5,150.00 ",,
College of New Caledonia,04-09-2018,,,,,
Vancouver Island University,04-09-2018,Bachelor of Arts in Child and Youth Care,4," $25,000.00 ", Attending ,
Okanagan College,,Associate of Arts,2," $8,934.00 ", Completed  ,
University of British Columbia-Okanagan,05-09-2018,Bachelor of Arts,4," $27,000.00 ", Attending ,
College of New Caledonia,,Job Education Training,,, Hiatus ,
University of the Fraser Valley,01-09-2017,B. of Arts in Crim Justice,4," $23,765.00 ", Attending ,
Vancouver Island University,04-09-2018,Bachelor of Arts-Digital Media,4," $25,000.00 ", Attending ,
University of the Fraser Valley,,Qualifying Studies,,,,
North Island College,01-01-2021,Animal Care Assistant,,, Attending ,
Simon Fraser University,04-09-2018,Bachelor of Arts,4," $26,160.00 ", Hiatus ,
Vancouver Island University,04-09-2018,Exploratory Studies,2," $25,000.00 ", Attending , Student complete Fine Arts diploma. registered in EXPO with expressed intention to pursue degree.  
University of the Fraser Valley,,Bachelor of Social Work,4," $21,000.00 ", Completed  ,
College of New Caledonia,,,,,,
University of the Fraser Valley,,Qualifying Studies,,,,
Camosun College,04-09-2018,University Transfer,2,, Completed  ,
BCIT,,Electrical Apprentice,,, Completed  ,
BCIT,08-09-2018,Business Management Diploma,2," $12,750.00 ", Hiatus , Terminated from program 
University of the Fraser Valley,,Qualifying Studies,,,,
Nicola Valley Institute of Technology,04-09-2018,Associate of Arts in Criminology,2," $5,465.00 ", Completed  ,
Vancouver Island University,04-09-2018,Bachelor of Arts,4," $25,000.00 ", Hiatus , Last attended F'20 
University of British Columbia,05-09-2017,Bachelor of Science,4," $30,000.00 ", Attending ,
Simon Fraser University,04-09-2018,Bachelor of Arts, 4 ," $25,664.00 ", Hiatus , Transferred schools 
University of British Columbia,07-09-2021,Bachelor of Arts,4," $27,000.00 ", Attending ,
College of New Caledonia,,Applied Business Technology,,, Completed  ,
College of New Caledonia,,,,,,
Camosun College,01-10-2018,Welding Foundation,1,, Never Attended , Dropped prior to course start 
Langara College,02-01-2019,Bachelor of Business Administration: Business Management,4," $24,397.00 ", Attending ,
College of New Caledonia,,Business Management Diploma,,, Hiatus ,
Selkirk College,19-10-2020, Education Assistant & Community Support/Plant Operator Certificate,1," $4,866.00 ", Attending , Completed Plant Operator-now taking Comm.Support.Worker 
Thompson Rivers University,01-09-2018,Bachelor of Arts,4," $24,000.00 ", Hiatus ,
University of British Columbia,03-09-2019,Bachelor of Arts,4," $30,887.00 ", Hiatus ,
University of British Columbia,01-09-2018,Bachelor of Social Work,2," $11,000.00 ", Completed  ,
University of Victoria,,Bachelor of Science,,, Attending ,
University of British Columbia,06-09-2017,Bachelor of Kinesiology, 4 ," $27,000.00 ", Attending ,
College of New Caledonia,,Medical Lab Tech,,, Completed  ,
University of the Fraser Valley,01-09-2017,Bachelor of Arts in Criminal Justice,4," $23,765.00 ", Hiatus ,
Douglas College,01-05-2020,Bachelor of Physical Education & Coaching/General Studies,2," $12,000.00 ", Hiatus , Transfer 
University of British Columbia,01-09-2021,Bachelor of Education, 4 ," $44,101.00 ", Attending ,
Vancouver Island University,04-09-2018,Fine Arts (Theatre),2," $11,000.00 ", Attending ,
Nicola Valley Institute of Technology,02-01-2019,Associate of Arts General ,2," $5,600.00 ", Attending ,
College of New Caledonia,,Medical Office Assistant,,, Hiatus ,
College of New Caledonia,,,,,,
College of New Caledonia,01-01-2021,,,,,
Vancouver Island University,04-09-2018,Early Childhood Education & Care,2," $12,000.00 ", Attending ,
University of British Columbia Okanagan,05-09-2018,Access Studies,,, Hiatus ,
College of New Caledonia,,Social Service Worker,,, Hiatus ,
Capilano University,,Associate of Arts and Sciences ,2," $11,785.42 ", Hiatus ,
University of the Fraser Valley,,Community Support Worker,,,,
BCIT,,Business Operations Management,,, Completed  ,
Vancouver Island University,02-09-2014,Practical Nursing Diploma,2," $15,000.00 ", Completed  ,
University of British Columbia Okanagan,05-09-2018,Bachelor of Arts,4," $27,000.00 ", Attending ,
Justice Insitute of British Columbia,11-09-2017,Law Enforcement Studies Diploma & Bachelor of Law Enforcement ,4," $25,500.00 ", Attending , Completed Diploma. Pursuing Bachelor Degree.Program Application Fee 
BCIT,02-01-2019,Diploma: Electrical and Computer Engineering Tech,2," $14,936.00 ", Attending ,
BCIT,08-09-2021,TV and Video Production,2," $13,462.00 ", Completed  ,
College of the Rockies,03-09-2019,,,,,
Okanagan College,04-02-2020,Welder Foundation/Carpenter and Joiner Foundation,1,, Completed  , Program paused due to COVID.  Student has not returned. Welder Foundation credential rec'd. 
Vancouver Island University,01-09-2019,Professional Cook Level 1 & 2,1," $8,200.00 ", Hiatus , Withdrew S20 
College of New Caledonia,,Welding Level B,,, Hiatus ,
University of British Columbia Okanagan,08-09-2015,Bachelor of Arts, 4 ," $27,000.00 ", Attending ,
Justice Insitute of British Columbia,13-08-2018,Primary Care Paramedic Program,,, Hiatus , Required to withdraw 
Emily Carr University of Art & Design,01-05-2018,,,, Never Attended ,
Langara College,02-09-2014,Associate of Arts: Pyschology,2," $9,211.00 ", Attending ,
Native Education College,04-09-2018,Health Care Assistant Program,1," $7,301.00 ", Hiatus ,
Simon Fraser University,01-09-2018,Bachelor of Arts,4,, Hiatus , Last term Fall '19. 
Langara College,,Arts and Science Diploma,,, Hiatus ,
University of British Columbia,06-09-2016,Bachelor of Arts,4," $14,000.00 ", Hiatus ,
Nicola Valley Institute of Technology,04-09-2018,Associate of Arts,2," $5,600.00 ", Hiatus ," Last attended date: Dec 22, 2020 "
Vancouver Island University,04-09-2018,Exploratory Studies,4," $25,000.00 ", Hiatus , Not enrolled since Fall 2018 
Nicola Valley Institute of Technology,04-09-2018,Associate of Arts in Criminology,2," $5,600.00 ", Hiatus ," Last attended Dec 18, 2018 "
Langara College,01-01-2018,Professional Photography Diploma,2," $18,062.00 ", Attending ,
Thompson Rivers University,02-06-2019,Undeclared,4," $24,100.00 ", Hiatus ,
University of the Fraser Valley,,Health Care Assistant,,,,
Langara College,07-05-2018,General Education Diploma,,, Hiatus ,
Vancouver Island University,04-09-2018,Adult Basic Education,,, Hiatus , Last attended Jan 2019 
Justice Institute of British Columbia,01-11-2021,Basic Security Training & Assessment,1, $372.00 , Attending ,
Kwantlen Polytechnic University,07-05-2018,Bachelor of Arts,4," $33,000.00 ", Attending ,
Langara College,01-01-2019,,,, Never Attended ,
University of the Fraser Valley,01-09-2018,Early Childhood Education,1," $8,005.00 ", Attending ,
College of the Rockies,07-09-2021,Carpentry Foundations,1," $3,347.00 ",,
Nicola Valley Institute of Technology,04-09-2018,Associate of Arts in Criminology,2," $5,600.00 ", Attending ,
Camosun College,07-05-2018,Foundations Academic Upgrading ,1,, Hiatus , Last attended 04/19 
University of Victoria,01-09-2018,Bachelor of Social Work,,, Attending ,
Langara College,04-09-2018,Bachelor of Science in Nursing, 4 ," $18,420.00 ", Attending ,
Vancouver Island University,04-09-2018,Bachelor of Tourism Management,4," $23,000.00 ", Hiatus , Withdrew Feb 2021 
Douglas College,04-01-2021,Bachelor of Business Administration, 4 ," $23,966.00 ",,
Douglas College,04-01-2021,Associate of Science,2," $12,000.00 ",,
Douglas College,09-09-2019,Hearing Instrument Practitioner Diploma,2," $16,356.00 ",,
Vancouver Island University,,Adult Basic Education,,, Hiatus , Withdrew F20 
Douglas College,04-01-2021,General studies Diploma,2," $11,696.00 ",,
Douglas College,06-09-2021,Bachelor of Arts,4," $26,730.00 ",,
BCIT,,Bachelor of Arts,,, Never Attended ,
Douglas College,01-06-2020,Community Mental Health Worker,2," $12,000.00 ", Attending ,
Kwantlen Polytechnic University,01-09-2018,Arts, 4 ," $23,500.00 ", Hiatus ,
Kwantlen Polytechnic University,01-09-2021,Education Assistant Certificate , 1 ," $7,372.00 ", Attending ,
University of the Fraser Valley,05-09-2018,Bachelor of General Studies,,,,
Camosun College,05-09-2018,Healthcare Assistant,1,, Hiatus ,
Okanagan College,,Esthetics and Nail Certificate,,, Completed  ,
Native Education College,04-09-2018,Health Care Assistant Mental Health Certificate,1,, Completed  ,
Vancouver Community College,,Administrative Assistant,,,,
Douglas College,07-09-2021,Diploma,2," $15,280.00 ",,
College of the Rockies,05-09-2018,Human Services Worker,,, Attending ,
Thompson Rivers University,01-09-2018,Bachelor of Arts,4," $24,100.00 ", Hiatus ,
Langara College,06-01-2020,Associate of Arts Psychology,2," $9,775.00 ", Attending ,
Camosun College,04-09-2018,Associate Degree Arts,2,, Hiatus , Last attended 04/19 
Vancouver Island University,05-09-2017,Criminology Diploma,2," $12,000.00 ", Hiatus , Last attended Jan 2020 
Douglas College,04-01-2021,Criminology Diploma,2," $7,080.00 ",,
College of New Caledonia,06-08-2018,,,, Hiatus ,
Vancouver Island University,,,,, Never Attended , No student record at VIU 
Langara College,05-09-2018,Diploma Kinesiology,2," $9,031.00 ", Hiatus ,
Vancouver Island University,08-01-2018,Bachelor of Arts,4," $25,000.00 ", Hiatus , Withdrew Feb 2019 
Okanagan College,10-09-2020,Education Assistant Certificate,1," $4,522.00 ", Completed  , Reported as completed Associate of Arts 
Vancouver Community College,,Counselling Skills,,,,
Capilano University,,Tourism Management Co-operative Education Diploma,,, Hiatus ,
Douglas College,09-09-2020,Bachelor of Arts in Child and Youth Care,4," $16,152.00 ",,
Nicola Valley Institute of Technology,08-09-2021,Associate of Arts, 2 ," $7,448.00 ", Attending ,
Okanagan College,01-09-2018,Associate of Arts,2," $8,934.00 ", Hiatus , Took to courses in Fall 2018.  Never returned. 
University of the Fraser Valley,10-09-2018,Powerline Technician Certificate,,, Hiatus ,
Northern Lights College,07-09-2021,University Transfer/Social Service Worker Dploma,2," $7,174.00 ", Attending , Withdrew 
Camosun College,23-08-2018,Applied Project Management Certificate (CE),,, Hiatus , Last attended 09/18 
Camosun College,03-09-2019,College Prep,,, Hiatus , Last attended 04/20 
Vancouver Community College,01-01-2019,Counselling Skills,2,, Completed  ,
Langara College,01-09-2019,Associate of Arts,2,, Hiatus ,
Douglas College,,General Studies,,, Hiatus ,
Native Education College,,Health Care Assistant Program,1," $7,301.00 ", Hiatus ,
Camosun College,23-08-2018,Applied Project Management Certificate (CE),,, Hiatus , Last attended 4/19 
Douglas College,01-09-2018,General Studies,,, Hiatus ,
Vancouver Island University,01-09-2018,Bachelor of Arts,4," $25,000.00 ", Attending ,
Nicola Valley Institute of Technology,24-09-2015,Associate of Arts in First Nation Studies,,, Hiatus ,
North Island College,01-09-2018,,,, Hiatus ,
Okanagan College,01-09-2018,Human Service Work,2,, Completed  ,
Capilano University,10-09-2018,University One for Aboriginal Learners Certificate,,, Hiatus ,
Camosun College,23-08-2018,Applied Project Management Certificate (CE),,, Hiatus , Last attended 09/18 
Capilano University,10-09-2018,Legal Studies,,, Completed  ,
